entryDate,id,isbn,author,name,year,publisher,pages,price,remark,status
15/06/15,IT-114,9.78813E+12,Rajkumar Buyya,High Performance Cluster Computing Architechtures and Systems,"2008
Volume-1",Pearson Education,849,,,A
15/06/15,IT-115,9.78813E+12,"M. Morris Mano
Michael D. Ciletti",Digital Design,"4th
2012",Pearson Education,610,,,A
15/06/15,IT-116,9.78812E+12,M. R. Bhujade,Parallel Computing,"2009 
2nd Edition",New Age International Publishers,278,,,A
15/06/15,IT-117,817319100X,Michael J. Flynn,Computer Architechture Pipelined and Parallel Process Design,1995,Narosa Publishing House,788,,,A
15/06/15,IT-118,0070991375,"Williams H. Murry III
Chris H. Pappas","80386/80286
Assembly Language Programming",1986,Tata MC Graw Hill,548,,,A
15/06/15,IT-119,9.78938E+12,John L. Hennessy David A. Patterson,Computer Architechture A Quantitative Approach,5th,Morgan Kaufmann,429,,,A
15/06/15,IT-120,9.76007E+12,B. Govinda Rajalu,IBM Pc and Clones Hardware Troubleshooting and Maintanance,"2nd
2008",Tata MC Graw Hill,963,-,,A
15/06/15,IT-121,0071143238,"V. Carl Hamacher
Zuonko G. Vranesic
Safwat G. Zaky",Computer Organization,4th Edition,Tata MC Graw Hill,963,,,A
15/06/15,IT-122,9.78813E+12,M. Morris Mano,Computer System Architecture,"3rd Edition
2011",Pearson Education,520,-,,A
15/06/15,IT-123,9.78813E+12,Rob Williams,Computer System Architecture- Anetworking Approach,"2nd Edition
2012",Pearson Education,730,,,A
15/06/15,IT-124,9.78818E+12,Dilip Kumar Sultania,Computer System Organization [ Solved Q. Paper],2012 5th Edition,Tech Max,-,,,A
15/06/15,IT-125,8120304179,M. Morris Mano,Digital Logic and Computer Design,2002 2nd Edition,PHI India,612,195,,A
15/06/15,IT-126,8120308557,M. Morris Mano,Computer System Architecture,3rd Edition,PHI India,525,,,A
15/06/15,IT-127,70663540,"Kai Hwang
Paye A. Briggs",Computer Architecture and Parallel Processing,1976,Tata MC Graw Hill,845,,,A
15/06/15,IT-128,007053070X,Kai Hwang,Advanced Computer Architecture,2004,Tata MC Graw Hill,770,,,A
15/06/15,IT-129,9.78007E+12,Douglas V. Hall,Microprocessor and Interfacing,"2nd Edition
Revised
2010",Tata MC Graw Hill,-,,,A
15/06/15,IT-130,9.78007E+12,"A. K. Ray
K. M. Bharchand",Advanced Microprocessors and Peripherals,"2nd Editon
2012",Tata MC Graw Hill,706,,,A
15/06/15,IT-131,880222972,Allen L. Wyatt,Using Assembly Language,1986,MicroTech Publications,746,-,,A
15/06/15,IT-132,9.78813E+12,Elaine Rich,Automata Computability and Complexity Theory and Applications,2012,Pearson Education,1099,,,A
15/06/15,IT-133,9.78813E+12,Michael Sipser,Theory Of Computation,2007,Course Technology,346,,,A
15/06/15,IT-134,8120311906,John Kelly,Essence of Computing : The Essence of Logic,2002 2nd Edition,PHI India,258,,,A
15/06/15,IT-135,8120322843,Arindama Singh,Logics for Computer Science,2003,PHI India,369,,,A
15/06/15,IT-136,8185095132,E. V. Krishnamurthy,Introductory Theory of Computer Science,1984,East-West Press,211,,,A
15/06/15,IT-137,8178670364,"Raymon Greenlaw
H. James Hoover",Fundamentals of The Theory of Computation Principles and Practice,1998,Morgan Kaufmann,336,,,A
15/06/15,IT-138,007049939X,John Martin,Introduction to Languages and the Theory of Computation,"3rd Edition
2005",Tata MC Graw Hill,543,,,A
15/06/15,IT-139,8177588729,"John E. Hopcroff
Rajeev Mofwani
Jeffrey D. Ullman",Introduction To Automata Theory Languages and Computation,"2nd Edition
2007",Pearson Education,534,,,A
15/06/15,IT-140,019807106X,C. K. Nagpal,Formal Languages and Automata Theory,2011  2Nd Edition,Oxford Higher Education,348,,,A
15/06/15,IT-141,9971515203,Daniel I.A. Cohen,Introduction To Computer Theory,"2nd Edition
2004",Willey India,634,,,A
15/06/15,IT-142,8185015961,"John E. Hopcroff
Jeffrey D. Ullman",Introduction To Automata Theory Languages and Comoputation,"2nd Edition
2004
",Narosa Publishing House,418,,,A
15/06/15,IT-143,9.78812E+12,"K.L.P. Mishra
N. Chandrashekharan","Theory of Computer Science, Automata, Languages and Computation","3rd Edition
2007",PHI India,422,,,A
15/06/15,IT-144,9.78812E+12,"Harry R. Lewis
Christofer H. Papadimitriou",Elements of the Theory of Computation,"2nd Edition
2008",PHI India,361,,,A
15/06/15,IT-145,9.78813E+12,Frank L. Severance,System Modeling and Simulation : An Introduction,2009,Willey India,506,,,A
15/06/15,IT-146,9.78812E+12,Narsingh Deo,System Simulation with Digital Computer,2007,PHI India,200,,,A
15/06/15,IT-147,9.78007E+12,Averill M. Law,Simulation Modeling and Analysis,"4th Edition
2008",Tata MC Graw Hill,768,,,A
15/06/15,IT-148,9.78818E+12,Leslie Lamport,"A Document Preparation System LATEX  User's Manual, Guide and Reference","2nd Edition
2007",Pearson Education,272,,,A
15/06/15,IT-149,,,Network Simulator (ns2)- Volume -1 Basic Tutorials,,,,,,A
15/06/15,IT-150,,,Network Simulator Manual,2005,,401,,,A
16/06/15,IT-151,,"Eitan Altman
Tania Jimenez",NS Simulator for Beginners,2003,,144,,,A
16/06/15,IT-152,,,Network Simulator(ns2) Volume II Wireless Ad-hoc Networks Simulation,-,-,-,-,,A
16/06/15,IT-153,,"Prof. Shie-Yuan Wang
Chih-Hua Huang
Chih-Che Lin
Chih Liang Chou and Kuo-Chiang Liao",NCTUns 4.0 Protocol Developr Manual,2007,,226,-,,A
16/06/15,IT-154,,,OPNET Laboratory Manual : Volume 1,-,,188,-,,A
16/06/15,IT-155,,,OPNET Laboratory Manual : Volume 2,2003,Morgan Kaufmann,195,-,,A
16/06/15,IT-156,,Mary Athenborough,Mathematics For Electrical Engg. And Computing Vol.-I,-,Neulues,369,,,A
16/06/15,IT-157,,Mary Athenborough,Mathematics For Electrical Engg. And Computing Part II,-,Neulues,-,,,A
16/06/15,IT-158,,Mary Athenborough,Mathematics For Electrical Engg. And Computing Part III,-,Neulues,-,,,A
16/06/15,IT-159,,Marc Gresiss,NS Tutorials,-,,-,,,A
16/06/15,IT-160,,"Jac Chung
Mark Claypool",NS By Examples,-,,-,,,A
16/06/15,IT-161,8173716129,"Ellis Horowitz
Sartaj Sahni
Sangathevar Rajashekaran",Fundamentals of Computer Algorithms,"2nd Edition
2007","Universities Press, India",773,360,,A
16/06/15,IT-162,8173194580,Jeffrey J. Mc Connell,Analysis of Algorithms : An Active Learning Approach,2001,Narosa Publishing House,297,,,A
16/06/15,IT-163,70636613,"Sanjay Dasgupta
Chritofer Papadimitriou
Umesh Vazirani",Algorithms,2008 2nd Edition,Tata MC Graw Hill,320,-,,A
16/06/15,IT-164,8120326377,S. K. Basu,Design Methods and Analysis of Algorithms,2005,PHI India,306,250/-,,A
16/06/15,IT-165,9.78126E+12,"R. C. T. Lee
S. S. Tseng
R. C. Chang
Y. T. Tsai",Introduction to the Design and Analysis of Algorithms : A Strategic Approach,2013,Tata MC Graw Hill,723,-,,A
16/06/15,IT-166,8173716110,IT-161,Computer Algorithms,"2nd Edition
2008","Universities Press, India",774,395/-,,A
16/06/15,IT-167,9.78126E+12,IT-165,Introduction to the Design and Analysis of Algorithms : A Strategic Approach,2012,Tata MC Graw Hill,723,-,,A
16/06/15,IT-168,8175152575,"Ellis Horowitz
Sartaj Sahni
Sangathevar Rajashekaran",Fundamentals of Computer Algorithms,2003,Galgotia Publications,769,279,,A
16/06/15,IT-169,813170310X,"Jon Kleinberg
Eva Tardos",Algorithm Design,2006,Pearson Education,838,-,,A
16/06/15,IT-170,8120321413,"Thoms H. Cormen
Charles E. Leiserson
Ronald Rivest
Clifford Stein",Introduction to Algorithms,"2nd Edition
2003",PHI India,1180,325/-,,A
16/06/15,IT-171,9.78813E+12,"David Money Harris
Sarah L Harris",Digital Design and Computer Architecture,2007,Morgan Kaufmann,569,-,,A
16/06/15,IT-172,9.78812E+12,"Thomas H. Coremen
Charles E. Leiser
Ronald L. Rivest
Cliford Stein",Introduction To Algorithms,"3rd Edition
2010",PHI India,1292,425,,A
16/06/15,IT-173,8173716129,"Ellis Horowitz
Sartaj Sahni
Sangathevar Rajashekaran",Fundamentals of Computer Algorithms,"2nd Edition
2007","Universities Press, India",773,360,"161
Another copy",A
16/06/15,IT-174,,Allen B. Downey,Think Complexity,2011,Green Tea Press,134,-,,A
16/06/15,IT-175,,"D. H. Greene
D. E. Knuth",Mathematics for Analysis of Algorithms,"3rd Edition
1990",,-,-,,A
16/06/15,IT-176,,Herberts Wilt,Algorithms and Complexity,"2nd Edition
1994",,135,-,,A
16/06/15,IT-177,,"Rajeev motwani
Prabhakar Raghavan",Randomized Algorithms,-,,476,-,,A
16/06/15,IT-178,,"Franco P. Preparata
Michael Lau Shams",Computational Geometry : An Introduction,-,Springer Verlag,365,-,,A
16/06/15,IT-179,70662150,"Stefano CERI
Gluseppe Pelagatti",Distributed Databases : Principles and Systems,1985,Tata MC Graw Hill,393,-,,A
16/06/15,IT-180,198061862,"Sunita Mahajan
Seema Shah",Distributed Computing,2010,Oxford Higher Education,598,365,,A
16/06/15,IT-181,70587531,William Bachanan,Distributed Systems and Networks,2004 2nd Edition Vol.-3,Tata MC Graw Hill,674,-,,A
16/06/15,IT-182,8129704056,"Cameron Hughes
Tracey Hughes",Parallel and Distributed Programming Using C++,2004,Pearson Education,691,-,,A
16/06/15,IT-183,8178084627,"George Coulouris
Jean Dollimore
Tim Kindberg",Distributet Systems : Concepts and Design,"3rd Edition
2002",Pearson Education,772,-,,A
16/06/15,IT-184,9812359893,"George Coulouris
Jean Dollimore
Tim Kindberg",Distributet Systems : Concepts and Design,"2nd Edition
2002",Pearson Education,644,-,,A
16/06/15,IT-185,136079385,"M. Tamerozsu
Patrick Valduriez",Principles of Distributed Database Systems,"2nd Edition
1999",PHI India,666,-,,A
16/06/15,IT-186,8120313801,Pradeep K. Sinha,Distributed Operating Systems : Concepts and Design,2003,PHI India,743,-,,A
16/06/15,IT-187,9.78813E+12,"Joshy Joseph
Craig Fellentein",Grid Computing,2009,Pearson Education,400,-,,A
16/06/15,IT-188,8178672405,Nancy A. Lynch,Distributed Algorithms,2003,Morgan Kaufmann,872,-,,A
16/06/15,IT-189,8131706249,"George Coulouris
Jean Dollimore
Tim Kindberg",Distributed Systems : Concepts and Design,"4th Edition
2007",Pearson Education,941,-,,A
16/06/15,IT-190,8178087898,"Andrew S. Tenenbaum
Maarten Van Steen",Distributed Systems : Principles and Paradigms,2002,Pearson Education,782,-,,A
16/06/15,IT-191,8129704870,M. L. Liu,Distributed Computing : Principles and Applications,2005,Pearson Education,448,-,,A
16/06/15,IT-192,9.78818E+12,"V. S. Bagad
I. A. Dhotre",Computer Networking  Includes Solved and Questions,-,-,-,295/-,,A
16/06/15,IT-193,8178081016,W. Richard Stevens,"TCP/IP Illustrated 
Vol.-I The Protocols",2004 2nd Edition Vol.-3,Pearson Education,676,-,,A
16/06/15,IT-194,,Kurose Ross,Computer Networking : A Top-Down Approach,5th Edition,Pearson Education,861,-,,A
16/06/15,IT-195,,Kurose Ross,Computer Networking : A Top-Down Approach,5th Edition,Pearson Education,861,-,2nd Copy,A
16/06/15,IT-196,8181475933,"Anurag Kumar
D. Manjunath
Jay Kuri",Communication Networking : An Analytical Approach,2006,Morgan Kaufmann,929,-,,A
16/06/15,IT-197,8181476522,"Jean Walrand
Pravin Varaiya",High Performance Communication Networks,"2nd Edition
2005",Morgan Kaufmann,693,-,,A
16/06/15,IT-198,876826219,Andrew S. Tenenbaum,Computer Networks,"2nd Edition
1992",PHI India,658,-,,A
16/06/15,IT-199,9.78813E+12,Williams Stallings,Computer Networking with Internet Protocols and Technology,2008,Pearson Education,660,-,,A
16/06/15,IT-200,9.78813E+12,S. Keshav,An Engineering Approach to Computer Networking,2009,Pearson Education,642,-,,A
17/06/15,IT-201,8131715299,"Mahbub Hasan
Raj Jain",High Performance TCP/IP Networking,2007,Pearson Education,387,-,,A
17/06/15,IT-202,8129701081,"Douglas E. Comer
David L. Stevens",Internetworking with TCP/IP Vol.-I,"3rd Edition
2004",Pearson Education,659,-,,A
17/06/15,IT-203,8178084449,Douglas E. Comer,Internetworking with TCP/IP Vol.-I,"4th Edition
2005",Pearson Education,750,-,,A
17/06/15,IT-204,8120324102,NIIT,"Basics of Networks, Security Firewalls and VPNs",2003,PHI India,294,195/-,,A
17/06/15,IT-205,8181472071,"Rajiv Ramaswami
Kumar N. Sivarajan",Optical Networks : A Practical Perspective,"2nd Edition
2004",Morgan Kaufmann,831,-,,A
17/06/15,IT-206,9.78813E+12,"Mark Merkow
Jim Breithaupt",Information Security : Principles and Practices,2011,Pearson Education,448,-,,A
17/06/15,IT-207,9.78813E+12,Mayank Dave,Computer Networks,2012,CENGAGE Learning,400,-,,A
